x1,y1,z1,x2,y2,z2,x3,y3,z3,label
-689.8,-12998.8,9944.2,-1260.8,-12149,14109.7,-8459.4,-10741.8,462563.2,'dead'
-67,-12433.8,15948,-6389.4,-10479.6,8665,-8606.2,-11053.8,7048.8,'dead'
967.7333333,-12065.33333,11023.53333,-3061.266667,-11416.4,9529.333333,-10665.26667,-11261.73333,5604.333333,'dead'
636.8,-12703.4,10219.73333,-1200.733333,-12626.4,9482.6,-9619.2,-9898.8,7341.866667,'dead'
1286,-12569,11084.4,-6777,-11496.8,16967.3,-9056.6,-10866.4,6768.2,'dead'
66.8,-11392.8,10612.6,-6703.8,-12194.2,6326.6,-11334.6,-10267.4,5223.8,'dead'
-1110.8,-12006,10744.6,-8651.8,-12204.2,5714.4,-10465,-10867.6,5756.4,'dead'
1909.6,-9562.4,13430.2,-6562.4,-12187,7001.4,-8406,-11182,7879,'dead'
2207.6,-10958.73333,12009.26667,-1839.6,-11162.73333,9116.266667,-10525.46667,-11920.6,5024.333333,'dead'
-1565.633333,-15002.36667,31395.63333,-443.8333333,-14613.03333,6794.666667,-9152.7,-8360.7,8551.1,'dead'
1391,-11998.73333,10889.6,-3174.6,-12212.53333,11733.53333,-8372.333333,-11845.73333,7735.133333,'dead'
1403.333333,-12285.53333,10776.86667,-4469.666667,-10861.06667,10237,-7978.4,-9701.8,10581.35,'dead'
881.8,-13646.8,8551.8,-6531,-10530,8382.6,-9983.8,-9036.6,9087.15,'dead'
1385.2,-12510.6,10946.2,-6429.6,-12118.4,8618.4,-8622.8,-9212,9662.2,'dead'
2190.6,-11876.4,10843.4,-5245.8,-10920,9318.2,-10211.4,-9666.2,7118.2,'dead'
944.6,-12492.2,11723.6,-7534,-11004.6,11936.4,-10318.2,-10151.6,6963.6,'dead'
-5151.2,-5168.133333,13282.53333,589.6,-12897.2,9737.333333,-8355.333333,-11315.46667,8537.933333,'dead'
1008.533333,-12536.6,10337.73333,-1367.666667,-12683.66667,9332.2,-8383.6,-10476.73333,8020.133333,'dead'
1842.266667,-12918.4,9782.333333,-2143.6,-12851.33333,9289.866667,-8864.6,-10455.13333,8306.866667,'dead'
-2655.4,-13702.8,18066.6,-1317.8,-12697.8,9270.6,-8732,-8400.8,10391,'dead'
1569.2,-12930.6,9870.066667,-1782.666667,-12928.4,7459.2,-10192.06667,-10983.13333,6134.733333,'dead'
409.2,-13213.8,9778.8,-5502.2,-11691.6,8368.8,-9316.8,-10458.6,8172.8,'dead'
1407.6,-13006.6,9537.6,-5788.6,-11868.2,7427.2,-11148.6,-9643.6,6578.2,'dead'
-5414.4,-10142.2,9439.6,-8388.4,-12505.4,4297.2,-10258.6,-11498.4,3898,'dead'
-2547,-11147.8,10954.8,-4841.2,-11836.4,8400.6,-8633.2,-9926.8,8926.15,'dead'
10168,-5539.4,10327,10488.33333,-8214.8,5678.6,7303.133333,-16361.8,-313.2,'good'
5859.733333,-13935.86667,3489.6,-6183.6,-778.7333333,14861.8,-3529,2436,14967.4,'good'
10593.3,-10196.06667,6740.466667,596.6666667,-9748.233333,11233.76667,-5913.033333,529.1333333,91796.96667,'good'
-6727.2,-6319.6,10757,-6774.2,-3496,13443,-2940,4440.6,15561.2,'good'
5942.666667,-11925.46667,6876.633333,4681.3,-12122.6,3545.5,-5047.033333,962,13923.36667,'good'
7617.066667,-12569.53333,216,-2869.933333,-5455.133333,11247.53333,-4897.066667,2383.8,14559.86667,'good'
